City Name,Country,Region,CBD Location,,Land Cover Dates,,,Urban Extent Population,,,,Built-up Area Total  (ha),,,,Urban Built-up Area (ha),,,,Surburban Built-up Area (ha),,,,Rural Built-up Area  (ha),,,,Urbanized Open Space  (ha),,,,Urban Extent (ha),,,,Built-up Area Density (persons/ha),,,,Urban Extent Density (persons / ha),,,,Frgmentation: Saturation  (Built-up Area/Urban Extent),,,, Fragmentation: Openness index,,,,Compactness: Proximity index,,,,Compactness: Cohesion index,,,,Total Added Area (ha),,,Added Area: Infill (ha),,,,Added Area: Extension (ha),,,,Added Area: Leapfrog (ha),,,,Added Area: Inclusion (ha),,,,,
,,,Latitude,Longitude,T1,T2,T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1-T2,T2-T3,(T2-T3)/   (T1-T2),T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,,
Cheonan,Korea Rep.,East Asia and the Pacific,36.826,127.144,2/1/91,8/1/00,9/1/14,"111,318","210,488","552,995",6.9%,916,"2,900","9,037",8.1%,707,"1,683","4,528",7.0%,193,"1,115","4,153",9.3%,16,101,356,8.9%,551,"2,163","8,014",9.3%,"1,467","5,063","17,051",8.6%,122,73,61,-1.2%,76,42,32,-1.8%,0.62,0.57,0.53,-0.6%,0.32,0.39,0.44,0.8%,0.96,0.82,0.66,-1.6%,0.95,0.80,0.64,-1.6%,"1,983","6,137", 3.1 ,267,13%,984,16%,"1,142",58%,"1,635",27%,0,0.0%,0,0.0%,574,29%,"3,518",57%,,
Chicago,United States,Land-Rich Developed Countries,41.860,-87.864,6/1/89,9/1/01,9/1/14,"7,325,015","8,509,731","8,913,778",0.4%,"340,562","452,051","510,972",0.9%,"295,049","387,572","440,661",1.0%,"42,131","60,181","65,517",0.7%,"3,382","4,298","4,793",0.8%,"136,571","177,800","189,867",0.5%,"477,133","629,852","700,838",0.8%,22,19,17,-0.6%,15,14,13,-0.5%,0.71,0.72,0.73,0.1%,0.22,0.21,0.21,-0.1%,0.81,0.84,0.85,0.1%,0.80,0.82,0.84,0.1%,"111,489","59,804", 0.5 ,"47,798",43%,"27,834",47%,"37,604",34%,"15,032",25%,29,0.0%,770,1.3%,"26,058",23%,"16,169",27%,,
Cirebon,Indonesia,Southeast Asia,-6.702,108.497,10/1/89,10/1/00,6/1/14,"98,401","328,368","1,044,889",8.5%,285,"1,154","6,404",12.5%,24,315,"3,719",18.1%,242,766,"2,494",8.6%,19,74,191,7.0%,444,"1,601","4,471",7.5%,728,"2,755","10,875",10.0%,346,285,163,-4.1%,135,119,96,-1.6%,0.39,0.42,0.59,2.5%,0.63,0.57,0.42,-2.2%,0.85,0.77,0.70,-0.7%,0.85,0.76,0.68,-0.9%,869,"5,249", 6.0 ,127,15%,"1,138",22%,505,58%,"2,563",49%,0,0.0%,12,0.2%,237,27%,"1,536",29%,,
Cleveland,United States,Land-Rich Developed Countries,41.470,-81.636,4/1/90,3/1/00,6/1/13,"1,376,230","1,622,727","1,865,023",1.1%,"43,934","72,699","116,854",3.6%,"30,400","51,594","88,282",4.1%,"12,737","19,782","26,964",2.3%,797,"1,322","1,608",1.5%,"35,462","52,108","75,302",2.8%,"79,395","124,807","192,157",3.3%,31,22,16,-2.5%,17,13,10,-2.2%,0.55,0.58,0.61,0.3%,0.39,0.34,0.32,-0.4%,0.80,0.70,0.71,0.1%,0.80,0.69,0.70,0.1%,"28,764","44,156", 1.5 ,"11,427",40%,"16,067",36%,"11,160",39%,"13,225",30%,1,0.0%,21,0.0%,"6,177",21%,"14,843",34%,,
Cochabamba,Bolivia,Latin America and the Caribbean,-17.391,-66.170,7/1/90,6/1/00,7/1/13,"485,412","723,799","1,034,944",2.7%,"5,546","11,323","16,736",3.0%,"3,606","9,113","12,831",2.6%,"1,803","2,024","3,633",4.5%,136,186,272,2.9%,"3,958","5,777","9,559",3.8%,"9,504","17,100","26,295",3.3%,88,64,62,-0.3%,51,42,39,-0.6%,0.58,0.66,0.64,-0.3%,0.39,0.27,0.29,0.5%,0.61,0.66,0.69,0.4%,0.57,0.63,0.67,0.5%,"5,777","5,412", 0.9 ,"2,031",35%,"1,548",29%,"3,092",54%,"2,576",48%,0,0.0%,43,0.8%,654,11%,"1,245",23%,,
Coimbatore,India,South and Central Asia,11.015,76.973,1/1/92,10/1/00,2/1/14,"528,106","959,042","1,650,080",4.1%,"3,630","7,310","12,191",3.8%,"2,307","4,468","7,734",4.1%,"1,239","2,632","4,081",3.3%,84,210,376,4.4%,"3,172","6,527","10,243",3.4%,"6,802","13,836","22,434",3.6%,145,131,135,0.2%,78,69,74,0.4%,0.53,0.53,0.54,0.2%,0.44,0.43,0.40,-0.6%,0.87,0.78,0.77,-0.1%,0.86,0.76,0.75,-0.1%,"3,679","4,881", 1.3 ,967,26%,"1,798",37%,"1,141",31%,"1,413",29%,0,0.0%,59,1.2%,"1,572",43%,"1,611",33%,,
Cordoba,Argentina,Latin America and the Caribbean,-31.381,-64.216,12/1/91,11/1/01,7/1/14,"1,128,755","1,233,898","1,392,944",1.0%,"15,909","19,222","24,542",1.9%,"13,556","16,584","20,270",1.6%,"2,214","2,432","3,965",3.9%,140,206,307,3.1%,"5,959","7,748","10,945",2.7%,"21,868","26,970","35,487",2.2%,71,64,57,-1.0%,52,46,39,-1.2%,0.73,0.71,0.69,-0.2%,0.22,0.21,0.23,0.5%,0.88,0.90,0.87,-0.3%,0.87,0.90,0.86,-0.4%,"3,312","5,320", 1.6 ,"1,498",45%,"1,891",36%,"1,214",37%,"1,789",34%,0,0.0%,5,0.1%,600,18%,"1,634",31%,,
Culiacan,Mexico,Latin America and the Caribbean,24.798,-107.402,1/1/90,1/1/00,3/1/14,"375,046","483,533","625,346",1.8%,"5,742","7,896","11,563",2.7%,"4,921","6,629","10,008",2.9%,776,"1,163","1,451",1.6%,44,104,104,0.0%,"1,895","2,871","3,839",2.1%,"7,636","10,767","15,402",2.5%,65,61,54,-0.9%,49,45,41,-0.7%,0.75,0.73,0.75,0.2%,0.23,0.23,0.21,-0.8%,0.79,0.85,0.90,0.4%,0.77,0.84,0.89,0.4%,"2,154","3,666", 1.7 ,330,15%,"1,083",30%,"1,573",73%,"2,158",59%,30,1.4%,0,0.0%,221,10%,425,12%,,
Curitiba,Brazil,Latin America and the Caribbean,-25.463,-49.254,9/1/90,7/1/00,1/1/14,"1,375,084","2,106,460","2,728,388",1.9%,"14,909","31,150","44,527",2.6%,"9,646","24,029","37,503",3.3%,"4,913","6,707","6,596",-0.1%,350,415,428,0.2%,"13,208","18,072","19,499",0.6%,"28,118","49,222","64,027",1.9%,92,68,61,-0.7%,49,43,43,0.0%,0.53,0.63,0.70,0.7%,0.42,0.32,0.25,-1.9%,0.91,0.88,0.89,0.0%,0.89,0.86,0.87,0.1%,"16,241","13,376", 0.8 ,"5,864",36%,"6,789",51%,"7,203",44%,"3,752",28%,163,1.0%,302,2.3%,"3,011",19%,"2,533",19%,,
Dhaka,Bangladesh,South and Central Asia,23.766,90.418,11/1/89,10/1/99,3/1/14,"4,005,507","6,690,664","13,609,023",4.9%,"7,473","12,478","24,676",4.7%,"4,798","8,287","19,795",6.0%,"2,525","3,885","4,521",1.1%,150,306,359,1.1%,"6,404","10,347","11,865",0.9%,"13,878","22,825","36,541",3.3%,536,536,552,0.2%,289,293,372,1.7%,0.54,0.55,0.68,1.5%,0.42,0.39,0.29,-2.2%,0.77,0.67,0.65,-0.2%,0.74,0.66,0.64,-0.1%,"5,005","12,156", 2.4 ,"1,799",36%,"4,991",41%,"1,508",30%,"4,972",41%,0,0.0%,14,0.1%,"1,698",34%,"2,179",18%,,
Dzerzhinsk,Russia,Europe and Japan,56.241,43.455,8/1/89,4/1/00,7/1/10,"225,340","201,809","183,841",-0.9%,"3,278","4,448","5,047",1.2%,"2,263","3,683","4,354",1.6%,958,728,658,-1.0%,57,36,35,-0.3%,"2,484","1,974","1,813",-0.8%,"5,762","6,421","6,860",0.6%,69,45,36,-2.1%,39,31,27,-1.6%,0.57,0.69,0.74,0.6%,0.42,0.30,0.26,-1.3%,0.55,0.58,0.58,0.0%,0.56,0.59,0.59,0.0%,"1,169",599, 0.5 ,809,69%,359,60%,239,20%,113,19%,1,0.1%,0,0.0%,121,10%,127,21%,,
Florianopolis,Brazil,Latin America and the Caribbean,-27.595,-48.613,5/1/90,5/1/00,1/1/14,"284,463","375,071","532,951",2.6%,"4,394","6,719","10,210",3.1%,"2,685","4,887","7,748",3.4%,"1,600","1,700","2,314",2.3%,108,131,147,0.8%,"2,838","3,657","5,640",3.2%,"7,231","10,375","15,850",3.1%,65,56,52,-0.5%,39,36,34,-0.5%,0.61,0.65,0.64,0.0%,0.41,0.35,0.33,-0.4%,0.57,0.58,0.65,0.8%,0.55,0.57,0.64,0.9%,"2,324","3,491", 1.5 ,962,41%,"1,017",29%,797,34%,"1,618",46%,118,5.1%,0,0.0%,447,19%,856,25%,,
Fukuoka,Japan,Europe and Japan,33.598,130.437,5/1/93,5/1/01,4/1/14,"1,953,223","2,110,744","2,306,030",0.7%,"23,549","30,518","34,507",1.0%,"19,829","26,652","30,259",1.0%,"3,510","3,617","3,954",0.7%,209,250,295,1.3%,"8,829","10,158","10,996",0.6%,"32,377","40,676","45,503",0.9%,83,69,67,-0.3%,60,52,51,-0.2%,0.73,0.75,0.76,0.1%,0.26,0.23,0.21,-0.8%,0.67,0.70,0.69,0.0%,0.64,0.68,0.67,-0.1%,"6,975","4,007", 0.6 ,"2,595",37%,"1,971",49%,"3,658",52%,"1,525",38%,55,0.8%,3,0.1%,667,10%,508,13%,,
"Gainesville, FL",United States,Land-Rich Developed Countries,29.661,-82.377,7/1/90,10/1/00,10/1/13,"112,979","137,912","175,756",1.9%,"4,516","6,091","7,663",1.8%,"2,147","3,227","3,927",1.5%,"2,235","2,705","3,540",2.1%,134,159,196,1.6%,"4,316","5,536","7,182",2.0%,"8,832","11,627","14,845",1.9%,25,23,23,0.1%,13,12,12,0.0%,0.51,0.52,0.52,-0.1%,0.48,0.46,0.47,0.1%,0.86,0.86,0.84,-0.2%,0.86,0.85,0.83,-0.2%,"1,574","1,572", 1.0 ,424,27%,341,22%,559,36%,217,14%,14,0.9%,189,12.0%,577,37%,825,52%,,
"Gaoyou, Jiangsu",China,East Asia and the Pacific,32.792,119.430,10/1/90,1/1/00,4/1/16,"86,595","70,291","186,351",6.0%,695,"1,128","5,336",9.6%,576,856,"4,252",9.9%,106,255,"1,003",8.4%,14,18,81,9.2%,164,444,"2,111",9.6%,860,"1,572","7,446",9.6%,125,62,35,-3.6%,101,45,25,-3.6%,0.81,0.72,0.72,0.0%,0.26,0.30,0.27,-0.7%,0.96,0.94,0.83,-0.8%,0.95,0.93,0.81,-0.8%,432,"4,207", 9.7 ,47,11%,360,9%,306,71%,"2,771",66%,0,0.0%,4,0.1%,79,18%,"1,072",25%,,
Gombe,Nigeria,Sub-Saharan Africa,10.290,11.167,12/1/90,4/1/00,5/1/13,"158,339","222,582","416,874",4.8%,950,"1,327","3,699",7.8%,691,"1,117","3,064",7.7%,236,191,587,8.6%,22,19,48,7.2%,521,544,"1,563",8.1%,"1,471","1,871","5,262",7.9%,167,168,113,-3.0%,108,119,79,-3.1%,0.65,0.71,0.70,-0.1%,0.33,0.26,0.25,-0.2%,0.86,0.90,0.81,-0.8%,0.85,0.89,0.78,-0.9%,377,"2,372", 6.3 ,182,48%,205,9%,170,45%,"1,913",81%,0,0.0%,0,0.0%,25,7%,253,11%,,
Gomel,Belarus,Europe and Japan,52.432,30.972,5/1/90,9/1/00,5/1/13,"434,467","501,664","508,557",0.1%,"5,152","8,738","9,573",0.7%,"4,345","7,047","7,764",0.8%,763,"1,561","1,693",0.6%,44,129,117,-0.8%,"2,250","3,986","4,013",0.1%,"7,402","12,724","13,587",0.5%,84,57,53,-0.6%,59,39,37,-0.4%,0.70,0.69,0.70,0.2%,0.28,0.29,0.28,-0.2%,0.93,0.78,0.78,0.0%,0.92,0.75,0.75,0.0%,"3,585",835, 0.2 ,897,25%,407,49%,720,20%,137,16%,27,0.7%,119,14.2%,"1,941",54%,172,21%,,
Gorgan,Iran,South and Central Asia,36.843,54.436,6/1/91,10/1/00,9/1/14,"142,123","227,778","375,741",3.6%,"1,777","2,523","3,235",1.8%,"1,280","2,002","2,571",1.8%,467,473,606,1.8%,31,49,58,1.3%,883,956,"1,288",2.1%,"2,660","3,480","4,523",1.9%,80,90,116,1.8%,53,65,83,1.7%,0.67,0.73,0.72,-0.1%,0.33,0.27,0.26,-0.5%,0.86,0.86,0.86,0.0%,0.84,0.84,0.84,0.0%,745,711, 1.0 ,290,39%,229,32%,311,42%,308,43%,0,0.0%,6,0.9%,144,19%,168,24%,,
Guadalajara,Mexico,Latin America and the Caribbean,20.660,-103.357,3/1/90,11/1/99,4/1/14,"2,802,064","3,360,859","4,375,721",1.8%,"26,758","35,080","51,625",2.7%,"22,900","31,367","44,886",2.5%,"3,620","3,453","6,279",4.1%,238,259,460,4.0%,"11,157","11,564","17,191",2.8%,"37,915","46,644","68,816",2.7%,105,96,85,-0.8%,74,72,64,-0.9%,0.71,0.75,0.75,0.0%,0.22,0.18,0.20,0.5%,0.95,0.94,0.88,-0.4%,0.94,0.93,0.87,-0.4%,"8,345","16,544", 2.0 ,"4,522",54%,"5,236",32%,"2,708",32%,"7,906",48%,24,0.3%,381,2.3%,"1,091",13%,"3,022",18%,,
"Guangzhou, Guangdong",China,East Asia and the Pacific,22.936,113.608,2/1/91,9/1/00,10/1/14,"2,405,072","12,039,122","24,657,221",5.1%,"8,183","120,182","323,148",7.0%,"4,881","77,412","237,094",7.9%,"3,038","39,584","80,406",5.0%,264,"3,186","5,647",4.1%,"6,837","75,290","185,112",6.4%,"15,020","195,472","508,259",6.8%,294,100,76,-1.9%,160,62,49,-1.7%,0.54,0.61,0.64,0.2%,0.45,0.39,0.34,-0.9%,0.82,0.71,0.79,0.8%,0.80,0.69,0.77,0.7%,"112,029","202,961", 1.8 ,"11,302",10%,"36,502",18%,"70,580",63%,"106,604",53%,296,0.3%,"3,602",1.8%,"29,851",27%,"56,252",28%,,
Guatemala City,Guatemala,Latin America and the Caribbean,14.605,-90.542,1/1/90,1/1/01,11/1/13,"1,128,878","1,946,428","2,654,085",2.4%,"13,307","19,229","26,506",2.5%,"9,831","15,213","22,402",3.0%,"3,252","3,750","3,808",0.1%,224,267,297,0.8%,"8,281","10,243","11,059",0.6%,"21,588","29,472","37,566",1.9%,85,101,100,-0.1%,52,66,71,0.5%,0.62,0.65,0.71,0.6%,0.33,0.29,0.23,-1.8%,0.84,0.83,0.87,0.3%,0.83,0.81,0.85,0.5%,"5,922","7,277", 1.2 ,"2,051",35%,"3,811",52%,"2,038",34%,"2,479",34%,230,3.9%,25,0.3%,"1,603",27%,963,13%,,
"Guixi, Chongqing",China,East Asia and the Pacific,30.332,107.348,6/1/88,7/1/01,6/1/16,"17,185","104,711","198,120",4.3%,140,381,"1,862",10.6%,56,219,"1,374",12.3%,76,149,449,7.4%,8,13,39,7.5%,146,296,"1,070",8.6%,285,677,"2,931",9.8%,123,275,106,-6.4%,60,155,68,-5.5%,0.49,0.56,0.64,0.8%,0.53,0.44,0.32,-2.0%,0.93,0.87,0.79,-0.6%,0.92,0.86,0.78,-0.6%,240,"1,481", 6.2 ,54,22%,122,8%,146,61%,"1,095",74%,0,0.0%,0,0.0%,41,17%,263,18%,,
Gwangju,Korea Rep.,East Asia and the Pacific,35.146,126.919,10/1/89,3/1/00,5/1/15,"723,576","1,054,149","1,368,716",1.7%,"3,639","8,151","16,033",4.5%,"2,989","5,960","13,831",5.6%,598,"2,014","2,057",0.1%,52,177,144,-1.4%,"1,637","4,343","5,632",1.7%,"5,277","12,494","21,664",3.6%,199,129,85,-2.7%,137,84,63,-1.9%,0.69,0.65,0.74,0.8%,0.27,0.30,0.23,-2.0%,0.93,0.75,0.89,1.1%,0.91,0.75,0.88,1.0%,"4,511","7,881", 1.7 ,"1,058",23%,"2,380",30%,"1,858",41%,"3,596",46%,0,0.0%,27,0.3%,"1,595",35%,"1,877",24%,,
"Haikou, Hainan",China,East Asia and the Pacific,20.028,110.329,10/1/91,7/1/01,12/1/13,"501,814","756,043","1,247,662",4.0%,"2,379","3,868","8,867",6.7%,"1,628","2,774","6,817",7.2%,691,"1,019","1,943",5.2%,60,75,108,3.0%,"1,293","2,614","5,129",5.4%,"3,672","6,482","13,996",6.2%,211,195,141,-2.6%,137,117,89,-2.2%,0.65,0.60,0.63,0.5%,0.38,0.36,0.35,-0.2%,0.78,0.93,0.85,-0.7%,0.76,0.91,0.83,-0.7%,"1,488","4,999", 3.4 ,331,22%,"1,093",22%,942,63%,"3,149",63%,0,0.0%,0,0.0%,215,14%,756,15%,,
Halle,Germany,Europe and Japan,51.487,11.970,8/1/90,9/1/99,7/1/10,"283,271","258,612","235,706",-0.9%,"3,587","5,894","6,721",1.2%,"2,505","4,409","5,131",1.4%,999,"1,357","1,484",0.8%,83,127,106,-1.6%,"2,497","3,047","3,073",0.1%,"6,084","8,941","9,793",0.8%,79,44,35,-2.1%,47,29,24,-1.7%,0.59,0.66,0.69,0.4%,0.38,0.31,0.29,-0.6%,0.88,0.88,0.88,0.0%,0.87,0.87,0.86,-0.1%,"2,306",827, 0.4 ,"1,055",46%,442,53%,693,30%,201,24%,15,0.6%,24,2.9%,543,24%,160,19%,,
"Hangzhou, Zhejiang",China,East Asia and the Pacific,30.305,120.168,10/1/90,5/1/00,4/1/13,"68,585","3,603,845","10,446,329",8.2%,"4,627","43,702","196,261",11.6%,"1,904","21,314","108,115",12.6%,"2,559","20,611","82,497",10.7%,164,"1,776","5,649",9.0%,"5,298","41,851","175,928",11.1%,"9,925","85,552","372,189",11.4%,15,82,53,-3.4%,7,42,28,-3.1%,0.47,0.51,0.53,0.2%,0.54,0.44,0.44,0.0%,0.86,0.67,0.84,1.8%,0.85,0.66,0.83,1.8%,"39,068","145,330", 3.7 ,"4,899",13%,"23,912",16%,"21,667",55%,"73,968",51%,256,0.7%,32,0.0%,"12,245",31%,"47,418",33%,,
Hindupur,India,South and Central Asia,13.838,77.488,2/1/89,3/1/00,3/1/14,"56,003","70,224","106,830",3.0%,57,125,445,9.1%,0,35,190,12.0%,50,79,236,7.8%,6,10,19,4.3%,79,153,404,7.0%,136,277,849,8.0%,986,563,240,-6.1%,413,253,126,-5.0%,0.42,0.45,0.52,1.1%,0.66,0.58,0.51,-0.9%,0.96,0.90,0.85,-0.4%,0.95,0.89,0.84,-0.4%,67,320, 4.8 ,18,27%,41,13%,25,37%,206,64%,0,0.0%,0,0.0%,24,36%,73,23%,,
Ho Chi Minh City,Vietnam,Southeast Asia,10.830,106.713,1/1/89,12/1/99,1/1/15,"2,563,621","3,950,264","10,187,671",6.3%,"5,453","15,057","63,478",9.5%,"4,285","11,717","47,604",9.3%,"1,093","3,097","14,964",10.4%,75,243,910,8.7%,"2,978","6,958","35,913",10.9%,"8,430","22,015","99,391",10.0%,470,262,160,-3.3%,304,179,103,-3.7%,0.65,0.68,0.64,-0.5%,0.30,0.26,0.32,1.5%,0.94,0.88,0.74,-1.2%,0.92,0.87,0.73,-1.1%,"9,604","48,418", 5.0 ,"1,918",20%,"8,757",18%,"6,713",70%,"19,751",41%,0,0.0%,2,0.0%,973,10%,"19,909",41%,,
Holguin,Cuba,Latin America and the Caribbean,20.883,-76.263,7/1/87,5/1/01,1/1/14,"200,231","238,531","263,345",0.8%,"1,652","2,070","2,157",0.3%,"1,107","1,427","1,523",0.5%,509,600,589,-0.1%,36,43,45,0.3%,899,"1,192","1,219",0.2%,"2,551","3,262","3,376",0.3%,121,115,122,0.5%,78,73,78,0.5%,0.65,0.63,0.64,0.1%,0.36,0.35,0.34,-0.2%,0.81,0.87,0.88,0.0%,0.80,0.85,0.86,0.0%,418,86, 0.2 ,109,26%,45,52%,169,40%,22,26%,0,0.0%,2,2.4%,140,34%,17,20%,,
"Hong Kong, Hong Kong",China,East Asia and the Pacific,22.346,114.183,11/1/89,1/1/00,10/1/13,"3,661,992","4,017,763","4,322,119",0.5%,"5,934","8,037","9,254",1.0%,"4,643","6,330","7,487",1.2%,"1,231","1,646","1,669",0.1%,60,61,98,3.5%,"2,316","2,985","3,024",0.1%,"8,250","11,022","12,278",0.8%,617,500,467,-0.5%,444,365,352,-0.3%,0.72,0.73,0.75,0.2%,0.32,0.30,0.27,-0.6%,0.66,0.69,0.69,0.0%,0.65,0.68,0.68,-0.1%,"2,110","1,222", 0.6 ,500,24%,619,51%,"1,101",52%,197,16%,113,5.3%,87,7.1%,395,19%,318,26%,,
Houston,United States,Land-Rich Developed Countries,29.780,-95.386,11/1/90,9/1/00,5/1/14,"2,739,736","3,758,618","5,399,338",2.7%,"116,357","182,480","272,394",2.9%,"77,754","142,751","217,995",3.1%,"36,472","37,334","51,264",2.3%,"2,131","2,396","3,135",2.0%,"91,608","107,148","150,754",2.5%,"207,965","289,629","423,148",2.8%,24,21,20,-0.3%,13,13,13,-0.1%,0.56,0.63,0.64,0.2%,0.40,0.32,0.30,-0.3%,0.84,0.86,0.87,0.1%,0.82,0.84,0.85,0.1%,"66,340","90,138", 1.4 ,"30,461",46%,"25,543",28%,"19,525",29%,"40,799",45%,351,0.5%,"2,178",2.4%,"16,003",24%,"21,618",24%,,
Hyderabad,India,South and Central Asia,17.422,78.484,3/1/90,7/1/99,5/1/14,"3,906,590","5,067,000","7,609,285",2.7%,"12,669","26,666","46,168",3.7%,"8,918","20,683","36,294",3.8%,"3,487","5,595","9,099",3.3%,265,388,776,4.7%,"8,999","15,292","26,829",3.8%,"21,668","41,958","72,998",3.7%,308,190,165,-1.0%,180,121,104,-1.0%,0.58,0.64,0.63,0.0%,0.37,0.30,0.29,-0.2%,0.88,0.87,0.91,0.3%,0.88,0.84,0.89,0.4%,"13,996","19,501", 1.4 ,"4,545",32%,"5,591",29%,"6,346",45%,"10,332",53%,0,0.0%,13,0.1%,"3,106",22%,"3,566",18%,,
Ibadan,Nigeria,Sub-Saharan Africa,7.388,3.896,12/1/84,2/1/00,12/1/13,"1,397,391","2,041,756","2,954,967",2.7%,"17,966","26,274","36,811",2.4%,"15,774","23,972","32,352",2.2%,"2,034","2,129","4,170",4.9%,158,173,289,3.7%,"6,297","7,155","12,310",3.9%,"24,264","33,429","49,121",2.8%,78,78,80,0.2%,58,61,60,-0.1%,0.74,0.79,0.75,-0.3%,0.19,0.15,0.17,1.0%,0.92,0.94,0.94,0.0%,0.91,0.93,0.93,0.0%,"8,307","10,537", 1.3 ,"3,186",38%,"3,156",30%,"4,667",56%,"5,961",57%,0,0.0%,0,0.0%,454,5%,"1,420",13%,,
Ilheus,Brazil,Latin America and the Caribbean,-14.803,-39.045,7/1/93,5/1/01,12/1/13,"88,775","121,000","97,888",-1.7%,532,"1,250","1,513",1.5%,233,746,"1,023",2.5%,256,461,468,0.1%,43,42,22,-5.2%,340,595,570,-0.3%,872,"1,845","2,083",1.0%,167,97,65,-3.2%,102,66,47,-2.7%,0.61,0.68,0.73,0.6%,0.51,0.43,0.38,-1.0%,0.57,0.55,0.56,0.1%,0.58,0.53,0.54,0.1%,730,263, 0.4 ,156,21%,144,55%,91,12%,48,18%,115,15.8%,34,12.8%,367,50%,37,14%,,
Ipoh,Malaysia,Southeast Asia,4.590,101.077,12/1/90,3/1/03,2/1/15,"409,006","605,174","793,675",2.3%,"10,153","18,566","25,310",2.6%,"5,605","13,074","20,444",3.7%,"4,218","5,189","4,534",-1.1%,330,303,332,0.8%,"9,373","12,451","13,065",0.4%,"19,526","31,017","38,374",1.8%,40,33,31,-0.3%,21,20,21,0.5%,0.52,0.60,0.66,0.8%,0.47,0.38,0.31,-1.7%,0.74,0.72,0.76,0.4%,0.73,0.71,0.74,0.4%,"8,442","6,743", 0.8 ,"2,920",35%,"3,470",51%,"2,841",34%,"1,471",22%,50,0.6%,7,0.1%,"2,632",31%,"1,795",27%,,
Istanbul,Turkey,Western Asia and North Africa,40.981,29.065,11/1/90,6/1/02,7/1/13,"8,662,185","12,202,504","13,974,428",1.2%,"28,372","57,759","102,589",5.2%,"20,855","47,000","92,509",6.1%,"7,105","10,172","9,396",-0.7%,411,588,684,1.4%,"18,556","29,367","29,017",-0.1%,"46,928","87,126","131,606",3.7%,305,211,136,-4.0%,185,140,106,-2.5%,0.60,0.66,0.78,1.5%,0.37,0.30,0.17,-5.2%,0.50,0.54,0.58,0.6%,0.50,0.54,0.58,0.6%,"29,409","44,855", 1.5 ,"7,727",26%,"20,577",46%,"17,913",61%,"7,441",17%,0,0.0%,"12,719",28.4%,"3,768",13%,"4,119",9%,,
Jaipur,India,South and Central Asia,26.911,75.787,10/1/89,10/1/00,9/1/14,"1,555,856","2,508,689","2,938,602",1.1%,"4,023","12,788","19,218",2.9%,"3,134","11,309","14,570",1.8%,809,"1,395","4,245",8.0%,80,83,403,11.3%,"2,604","5,782","11,172",4.7%,"6,628","18,570","30,390",3.5%,387,196,153,-1.8%,235,135,97,-2.4%,0.61,0.69,0.63,-0.6%,0.33,0.26,0.29,0.9%,0.92,0.91,0.87,-0.3%,0.91,0.91,0.86,-0.4%,"8,764","6,471", 0.7 ,"1,247",14%,"1,588",25%,"6,517",74%,"4,446",69%,40,0.5%,0,0.0%,960,11%,436,7%,,
Jalna,India,South and Central Asia,19.851,75.878,10/1/89,10/1/00,10/1/14,"186,307","244,109","278,314",0.9%,519,"1,153","1,509",1.9%,245,761,"1,144",2.9%,248,369,341,-0.6%,26,23,24,0.2%,487,740,869,1.1%,"1,007","1,893","2,377",1.6%,359,212,184,-1.0%,185,129,117,-0.7%,0.52,0.61,0.63,0.3%,0.50,0.40,0.35,-1.0%,0.88,0.82,0.82,0.0%,0.88,0.81,0.81,0.0%,632,355, 0.6 ,204,32%,156,44%,291,46%,182,51%,0,0.0%,0,0.0%,137,22%,17,5%,,
Jequie,Brazil,Latin America and the Caribbean,-13.862,-40.085,8/1/92,4/1/01,4/1/14,"123,038","131,027","128,045",-0.2%,"1,271","2,249","2,511",0.8%,975,"1,890","2,075",0.7%,281,331,402,1.5%,15,29,35,1.6%,657,680,959,2.6%,"1,928","2,930","3,470",1.3%,97,58,51,-1.0%,64,45,37,-1.5%,0.66,0.77,0.72,-0.5%,0.37,0.26,0.26,-0.1%,0.82,0.80,0.82,0.2%,0.82,0.79,0.81,0.2%,978,262, 0.3 ,310,32%,75,29%,652,67%,142,54%,0,0.0%,0,0.0%,17,2%,45,17%,,
